session,gameNum,costCond,visibilityCond,resourceCond,purpleEnergy,purpleBackpackSize,redEnergy,redBackpackSize,purpHelpFirst,redHelpFirst,purpAlsoHelp,redAlsoHelp,nRedVeg,nPurpVeg
1,1,high,self,even,0,4,8,4,False,False,False,False,4,4
1,2,high,self,uneven,6,5,0,3,False,False,False,False,4,4
1,3,low,self,uneven,34,3,47,5,False,False,False,False,5,3
1,4,low,self,even,59,4,52,4,False,False,False,False,3,5
1,5,high,self,uneven,0,3,0,5,False,False,False,False,7,7
1,6,high,self,even,0,4,0,4,False,False,False,False,7,7
1,7,high,full,uneven,0,3,0,5,False,False,False,False,4,4
1,8,high,full,uneven,0,5,4,3,False,False,False,False,4,4
1,9,low,self,uneven,54,3,59,5,False,False,False,False,3,5
1,10,high,full,uneven,18,3,20,5,False,False,False,False,5,3
1,11,high,full,uneven,0,3,0,5,False,False,False,False,7,7
1,12,low,self,uneven,0,3,23,5,False,False,False,False,7,7
2,1,low,full,uneven,51,3,40,5,False,False,False,False,4,4
2,2,low,self,even,59,4,56,4,False,False,False,False,4,4
2,3,high,self,uneven,0,5,0,3,False,False,False,False,5,3
2,4,low,full,uneven,47,5,42,3,False,False,False,False,3,5
2,5,high,self,uneven,0,3,0,5,False,False,False,False,7,7
2,6,high,self,uneven,0,5,0,3,False,False,False,False,7,7
2,7,high,self,uneven,0,3,0,5,False,False,False,False,4,4
2,8,low,self,uneven,52,3,47,5,False,False,False,False,4,4
2,9,high,full,uneven,18,5,8,3,False,False,False,False,3,5
2,10,low,full,uneven,59,5,40,3,False,False,False,False,5,3
2,11,low,full,uneven,14,5,37,3,False,False,False,False,7,7
2,12,high,self,even,0,4,0,4,False,False,False,False,7,7
3,1,low,self,uneven,51,3,40,5,False,False,False,False,4,4
3,2,high,self,uneven,6,5,0,3,False,False,False,False,4,4
3,3,high,self,uneven,22,3,0,5,False,False,False,False,5,3
3,4,high,self,even,18,4,4,4,False,False,False,False,3,5
3,5,high,self,uneven,0,3,0,5,False,False,False,False,7,7
3,6,high,self,even,0,4,0,4,False,False,False,False,7,7
3,7,high,self,even,0,4,0,4,False,False,False,False,4,4
3,8,high,self,uneven,28,5,0,3,False,False,False,False,4,4
3,9,high,self,uneven,18,5,8,3,False,False,False,False,3,5
3,10,high,full,uneven,0,5,0,3,False,False,False,False,5,3
3,11,high,full,uneven,0,3,0,5,False,False,False,False,7,7
3,12,low,full,even,0,4,11,4,False,False,False,False,7,7
4,1,high,self,uneven,0,3,0,5,False,False,False,False,4,4
4,2,low,self,uneven,50,3,53,5,False,False,False,False,4,4
4,3,high,self,even,0,4,24,4,False,False,False,False,5,3
4,4,low,full,even,52,4,59,4,False,False,False,False,3,5
4,5,high,full,uneven,0,3,0,5,False,False,False,False,7,7
4,6,high,full,uneven,0,5,0,3,False,False,False,False,7,7
4,7,low,full,uneven,41,5,33,3,False,False,False,False,4,4
4,8,high,self,even,0,4,26,4,False,False,False,False,4,4
4,9,high,full,even,14,4,20,4,False,False,False,False,3,5
4,10,low,self,uneven,59,5,40,3,False,False,False,False,5,3
4,11,low,full,even,12,4,11,4,False,False,False,False,7,7
4,12,high,self,uneven,0,3,0,5,False,False,False,False,7,7
5,1,low,full,uneven,51,3,40,5,False,False,False,False,4,4
5,2,low,self,uneven,50,3,53,5,False,False,False,False,4,4
5,3,high,self,uneven,22,3,0,5,False,False,False,False,5,3
5,4,low,self,even,59,4,52,4,False,False,False,False,3,5
5,5,low,self,even,11,4,0,4,False,False,False,False,7,7
5,6,high,self,even,0,4,0,4,False,False,False,False,7,7
5,7,high,full,uneven,0,5,0,3,False,False,False,False,4,4
5,8,high,self,uneven,28,5,0,3,False,False,False,False,4,4
5,9,low,self,uneven,54,3,59,5,False,False,False,False,3,5
5,10,low,self,even,60,4,59,4,False,False,False,False,5,3
5,11,high,full,uneven,0,5,0,3,False,False,False,False,7,7
5,12,low,full,uneven,23,5,0,3,False,False,False,False,7,7
6,1,low,full,uneven,32,3,37,5,False,False,False,False,4,4
6,2,low,full,even,53,4,51,4,False,False,False,False,4,4
6,3,high,self,even,0,4,24,4,False,False,False,False,5,3
6,4,low,full,uneven,34,3,47,5,False,False,False,False,3,5
6,5,low,full,uneven,0,3,11,5,False,False,False,False,7,7
6,6,high,self,uneven,0,3,0,5,False,False,False,False,7,7
6,7,low,full,uneven,35,5,30,3,False,False,False,False,4,4
6,8,low,full,uneven,55,5,54,3,True,False,False,False,4,4
6,9,high,self,uneven,8,3,18,5,False,False,False,False,3,5
6,10,low,self,even,60,4,59,4,False,False,False,False,5,3
6,11,low,full,even,0,4,24,4,False,False,False,False,7,7
6,12,high,full,uneven,0,5,0,3,False,False,False,False,7,7
7,1,low,full,uneven,32,5,42,3,False,False,False,False,4,4
7,2,high,full,uneven,6,5,0,3,False,False,False,False,4,4
7,3,low,self,uneven,34,3,47,5,False,False,False,False,5,3
7,4,low,self,uneven,42,3,47,5,False,False,False,False,3,5
7,5,low,self,uneven,0,3,25,5,False,False,False,False,7,7
7,6,low,full,even,0,4,19,4,False,False,False,False,7,7
7,7,high,self,even,0,4,0,4,False,False,False,False,4,4
7,8,low,self,even,63,4,50,4,False,False,False,False,4,4
7,9,high,full,even,14,4,20,4,False,False,False,False,3,5
7,10,low,self,even,60,4,59,4,False,False,False,False,5,3
7,11,low,self,even,12,4,11,4,False,False,False,False,7,7
7,12,low,full,uneven,23,5,0,3,False,False,False,False,7,7
8,1,high,full,uneven,0,5,0,3,False,False,False,False,4,4
8,2,low,self,uneven,60,5,53,3,False,False,False,False,4,4
8,3,high,self,uneven,22,3,0,5,False,False,False,False,5,3
8,4,high,self,uneven,24,5,18,3,False,False,False,False,3,5
8,5,low,full,uneven,5,5,18,3,False,False,False,False,7,7
8,6,high,full,uneven,0,5,0,3,False,False,False,False,7,7
8,7,high,self,uneven,0,3,0,5,False,False,False,False,4,4
8,8,low,full,uneven,47,5,52,3,False,False,False,False,4,4
8,9,low,self,even,61,4,62,4,False,False,False,False,3,5
8,10,low,full,uneven,59,5,40,3,False,False,False,False,5,3
8,11,high,self,uneven,0,3,0,5,False,False,False,False,7,7
8,12,high,full,even,0,4,0,4,False,False,False,False,7,7
9,1,high,self,uneven,0,5,2,3,False,False,False,False,4,4
9,2,high,self,uneven,6,3,20,5,False,False,False,False,4,4
9,3,low,full,uneven,32,3,49,5,False,False,False,False,5,3
9,4,low,self,uneven,47,5,42,3,False,False,False,False,3,5
9,5,low,self,even,11,4,0,4,False,False,False,False,7,7
9,6,high,self,uneven,0,3,0,5,False,False,False,False,7,7
9,7,high,self,uneven,0,5,0,3,False,False,False,False,4,4
9,8,low,full,uneven,55,5,54,3,True,False,False,False,4,4
9,9,low,full,even,62,4,61,4,False,False,False,False,3,5
9,10,low,full,uneven,32,3,47,5,False,False,False,False,5,3
9,11,low,self,even,11,4,12,4,False,False,False,False,7,7
9,12,high,full,uneven,0,3,0,5,False,False,False,False,7,7
10,1,low,full,even,54,4,49,4,False,False,False,False,4,4
10,2,low,full,uneven,44,3,61,5,False,False,False,False,4,4
10,3,high,full,even,24,4,0,4,False,False,False,False,5,3
10,4,low,self,uneven,42,3,47,5,False,False,False,False,3,5
10,5,low,self,uneven,25,5,0,3,False,False,False,False,7,7
10,6,high,full,even,0,4,0,4,False,False,False,False,7,7
10,7,high,full,uneven,0,5,0,3,False,False,False,False,4,4
10,8,low,full,even,51,4,44,4,False,False,False,False,4,4
10,9,low,self,even,61,4,62,4,False,False,False,False,3,5
10,10,high,full,uneven,0,5,0,3,False,False,False,False,5,3
10,11,high,self,uneven,0,3,0,5,False,False,False,False,7,7
10,12,high,full,even,0,4,0,4,False,False,False,False,7,7
11,1,low,full,even,23,4,49,4,False,False,False,False,4,4
11,2,low,self,even,59,4,56,4,False,False,False,False,4,4
11,3,low,self,uneven,47,5,34,3,False,False,False,False,5,3
11,4,low,full,uneven,34,3,47,5,False,False,False,False,3,5
11,5,low,full,uneven,25,5,0,3,False,False,False,False,7,7
11,6,low,self,even,15,4,12,4,False,False,False,False,7,7
11,7,low,self,uneven,47,3,42,5,False,False,False,False,4,4
11,8,high,self,even,26,4,0,4,False,False,False,False,4,4
11,9,low,self,uneven,64,5,59,3,False,False,False,False,3,5
11,10,low,full,uneven,59,3,60,5,False,False,False,False,5,3
11,11,high,full,uneven,0,5,0,3,False,False,False,False,7,7
11,12,low,full,uneven,0,3,21,5,False,False,False,False,7,7
12,1,low,full,even,23,4,49,4,False,False,False,False,4,4
12,2,low,self,even,59,4,56,4,False,False,False,False,4,4
12,3,low,self,uneven,61,3,34,5,False,False,False,False,5,3
12,4,low,self,even,59,4,52,4,False,False,False,False,3,5
12,5,high,self,even,0,4,0,4,False,False,False,False,7,7
12,6,low,self,uneven,23,3,2,5,False,False,False,False,7,7
12,7,low,full,even,50,4,47,4,False,False,False,False,4,4
12,8,low,self,uneven,47,5,52,3,False,False,False,False,4,4
12,9,high,full,even,14,4,20,4,False,False,False,False,3,5
12,10,low,self,uneven,59,3,60,5,False,False,False,False,5,3
12,11,low,full,uneven,5,3,30,5,False,False,False,False,7,7
12,12,high,self,uneven,0,3,0,5,False,False,False,False,7,7
13,1,low,self,uneven,30,3,41,5,False,False,False,False,4,4
13,2,low,self,uneven,50,3,53,5,False,False,False,False,4,4
13,3,low,self,even,62,4,41,4,False,False,False,False,5,3
13,4,high,self,uneven,24,5,18,3,False,False,False,False,3,5
13,5,low,self,even,0,4,11,4,False,False,False,False,7,7
13,6,high,full,uneven,0,3,0,5,False,False,False,False,7,7
13,7,high,self,uneven,0,3,0,5,False,False,False,False,4,4
13,8,high,self,uneven,0,3,28,5,False,False,False,False,4,4
13,9,high,full,uneven,24,5,22,3,False,False,False,False,3,5
13,10,low,self,uneven,59,3,60,5,False,False,False,False,5,3
13,11,low,full,even,0,4,24,4,False,False,False,False,7,7
13,12,low,full,even,17,4,0,4,False,False,False,False,7,7
14,1,low,self,even,54,4,49,4,False,False,False,False,4,4
14,2,high,self,uneven,6,3,20,5,False,False,False,False,4,4
14,3,low,full,even,57,4,49,4,False,False,False,False,5,3
14,4,low,self,uneven,59,3,62,5,False,False,False,False,3,5
14,5,low,self,uneven,25,5,0,3,False,False,False,False,7,7
14,6,low,self,even,12,4,15,4,False,False,False,False,7,7
14,7,low,full,even,50,4,47,4,False,False,False,False,4,4
14,8,high,full,uneven,0,3,28,5,False,False,False,False,4,4
14,9,low,self,uneven,54,3,59,5,False,False,False,False,3,5
14,10,low,self,uneven,59,5,40,3,False,False,False,False,5,3
14,11,low,self,uneven,30,5,5,3,False,False,False,False,7,7
14,12,high,self,uneven,0,5,0,3,False,False,False,False,7,7
15,1,low,self,uneven,41,5,30,3,False,False,False,False,4,4
15,2,low,self,uneven,50,3,53,5,False,False,False,False,4,4
15,3,low,self,uneven,34,3,47,5,False,False,False,False,5,3
15,4,low,full,uneven,59,3,62,5,False,False,False,False,3,5
15,5,high,full,uneven,0,5,0,3,False,False,False,False,7,7
15,6,low,full,even,12,4,15,4,False,False,False,False,7,7
15,7,low,self,uneven,42,5,47,3,False,False,False,False,4,4
15,8,high,self,uneven,28,5,0,3,False,False,False,False,4,4
15,9,high,full,uneven,18,3,28,5,False,False,False,False,3,5
15,10,low,full,even,60,4,59,4,False,False,False,False,5,3
15,11,low,self,uneven,0,3,7,5,False,False,False,False,7,7
15,12,low,full,uneven,15,3,0,5,False,False,False,False,7,7
16,1,high,self,even,0,4,8,4,False,False,False,False,4,4
16,2,high,self,uneven,6,3,20,5,False,False,False,False,4,4
16,3,high,self,uneven,0,5,22,3,False,False,False,False,5,3
16,4,high,self,even,18,4,4,4,False,False,False,False,3,5
16,5,low,full,even,0,4,11,4,False,False,False,False,7,7
16,6,low,self,uneven,21,5,0,3,False,False,False,False,7,7
16,7,low,full,uneven,47,3,42,5,False,False,False,False,4,4
16,8,low,self,uneven,47,5,52,3,False,False,False,False,4,4
16,9,low,full,even,59,4,58,4,False,False,False,False,3,5
16,10,low,self,uneven,59,3,60,5,False,False,False,False,5,3
16,11,low,full,even,12,4,11,4,False,False,False,False,7,7
16,12,high,full,even,0,4,0,4,False,False,False,False,7,7
17,1,low,full,uneven,51,3,40,5,False,False,False,False,4,4
17,2,high,full,even,0,4,0,4,False,False,False,False,4,2
17,3,high,full,even,0,4,4,4,False,False,False,False,5,3
17,4,high,self,even,4,4,18,4,False,False,False,False,3,5
17,5,low,full,uneven,0,3,11,5,False,False,False,False,7,7
17,6,high,full,uneven,0,5,0,3,False,False,False,False,7,7
17,7,high,self,uneven,0,3,0,5,False,False,False,False,4,4
17,8,low,self,uneven,47,3,64,5,False,False,False,False,4,4
17,9,low,self,even,62,4,61,4,False,False,False,False,3,5
17,10,high,self,uneven,18,5,0,3,False,False,False,False,5,3
17,11,high,self,uneven,0,5,0,3,False,False,False,False,7,7
17,12,low,full,even,0,4,11,4,False,False,False,False,7,7
18,1,high,full,uneven,8,5,3,3,False,False,False,False,4,4
18,2,low,full,uneven,53,3,60,5,False,False,False,False,4,4
18,3,low,full,even,57,4,49,4,False,False,False,False,5,3
18,4,low,full,uneven,59,3,62,5,False,False,False,False,3,5
18,5,high,self,uneven,0,3,0,5,False,False,False,False,7,7
18,6,high,self,uneven,0,3,0,5,False,False,False,False,7,7
18,7,low,self,uneven,47,3,42,5,False,False,False,False,4,4
18,8,low,full,uneven,47,5,52,3,False,False,False,False,4,4
18,9,high,full,uneven,0,3,0,5,False,False,False,False,3,5
18,10,high,full,uneven,0,5,0,3,False,False,False,False,5,3
18,11,high,self,uneven,0,3,0,5,False,False,False,False,7,7
18,12,high,self,uneven,0,5,0,3,False,False,False,False,7,7
19,1,low,full,uneven,32,5,42,3,False,False,False,False,4,4
19,2,low,full,uneven,52,5,59,3,False,False,False,False,4,4
19,3,low,full,even,57,4,49,4,False,False,False,False,5,3
19,4,high,full,uneven,0,3,12,5,False,False,False,False,3,5
19,5,low,full,uneven,15,3,0,5,False,False,False,False,7,7
19,6,low,self,uneven,2,5,23,3,False,False,False,False,7,7
19,7,high,self,uneven,0,5,0,3,False,False,False,False,4,4
19,8,low,full,uneven,44,3,39,5,False,False,False,False,4,4
19,9,low,full,even,59,4,58,4,False,False,False,False,3,5
