session,gameNum,costCond,visibilityCond,purpleBackpackSize,purpleEnergy,redBackpackSize,redEnergy,purpHelpFirst,redHelpFirst,purpAlsoHelp,redAlsoHelp,nRedVeg,nPurpVeg,patchUniformity,nPatches,patchSize
4ISIiFA1J99JSc,0,1,1,4,0,4,0,0,0,0,0,7,7,1,5,"3,2,2,2,2,3"
4ISIiFA1J99JSc,1,1,1,4,48,4,42,0,0,0,0,4,4,1,2,"4,4"
4ISIiFA1J99JSc,2,1,1,4,46,4,4,1,0,-1,0,3,5,1,2,"3,5"
4ISIiFA1J99JSc,3,1,1,4,48,4,42,0,1,1,-1,4,4,0,2,"4,4"
4ISIiFA1J99JSc,4,1,1,4,0,4,0,0,1,1,-1,7,7,0,5,"3,2,2,2,2,3"
4ISIiFA1J99JSc,5,1,1,4,0,4,0,1,0,-1,1,7,7,0,5,"3,2,2,2,2,3"
4ISIiFA1J99JSc,6,1,1,4,48,4,30,1,0,-1,0,3,5,1,2,"5,3"
4ISIiFA1J99JSc,7,1,1,4,36,4,42,0,1,0,-1,5,3,1,2,"5,3"
4ISIiFA1J99JSc,8,1,1,4,0,4,0,0,1,1,-1,7,7,1,5,"3,2,2,2,2,3"
4ISIiFA1J99JSc,9,1,1,4,42,4,48,0,0,0,0,4,4,1,2,"4,4"
4ISIiFA1J99JSc,10,1,1,4,26,4,48,0,1,0,-1,5,3,1,2,"3,5"
4ISIiFA1J99JSc,11,1,1,4,42,4,48,0,1,1,-1,4,4,0,2,"4,4"
4cKdZNL492Ie0V,0,1,0,5,43,3,2,1,0,-1,0,3,5,1,2,"3,5"
4cKdZNL492Ie0V,1,1,0,5,42,3,4,0,1,1,-1,4,4,0,2,"4,4"
4cKdZNL492Ie0V,2,1,0,5,0,3,0,0,1,1,-1,7,7,0,5,"3,2,2,2,2,3"
4cKdZNL492Ie0V,3,1,0,5,0,3,0,0,1,1,-1,7,7,0,5,"3,2,2,2,2,3"
4cKdZNL492Ie0V,4,1,0,5,48,3,46,0,1,1,-1,5,3,1,2,"3,5"
4cKdZNL492Ie0V,5,1,0,5,32,3,46,0,1,0,-1,4,4,1,2,"4,4"
4cKdZNL492Ie0V,6,1,0,5,32,3,46,0,1,1,-1,4,4,1,2,"4,4"
4cKdZNL492Ie0V,7,1,0,5,32,3,46,0,1,1,-1,4,4,0,2,"4,4"
4cKdZNL492Ie0V,8,1,0,5,42,3,16,1,0,-1,0,3,5,1,2,"5,3"
4cKdZNL492Ie0V,9,1,0,5,0,3,0,1,0,-1,1,7,7,1,5,"3,2,2,2,2,3"
4cKdZNL492Ie0V,10,1,0,5,0,3,0,0,1,1,-1,7,7,1,5,"3,2,2,2,2,3"
4cKdZNL492Ie0V,11,1,0,5,42,3,16,1,0,-1,1,5,3,1,2,"5,3"
4jqu3Fu3bRJBW3,0,0,0,3,6,5,31,0,0,0,0,7,7,0,5,"3,2,2,2,2,3"
4jqu3Fu3bRJBW3,1,0,0,3,54,5,68,0,0,0,0,3,5,1,2,"5,3"
4jqu3Fu3bRJBW3,2,0,0,3,52,5,68,0,0,0,0,3,5,1,2,"3,5"
4jqu3Fu3bRJBW3,3,0,0,3,73,5,74,0,0,0,0,5,3,1,2,"3,5"
4jqu3Fu3bRJBW3,4,0,0,3,28,5,45,0,0,0,0,7,7,1,5,"3,2,2,2,2,3"
4jqu3Fu3bRJBW3,5,0,0,3,54,5,71,0,0,0,0,4,4,1,2,"4,4"
4jqu3Fu3bRJBW3,6,0,0,3,36,5,37,0,0,0,0,7,7,1,5,"3,2,2,2,2,3"
4jqu3Fu3bRJBW3,7,0,0,3,73,5,74,0,0,0,0,5,3,1,2,"5,3"
4jqu3Fu3bRJBW3,8,0,0,3,52,5,71,0,0,0,0,4,4,1,2,"4,4"
4jqu3Fu3bRJBW3,9,0,0,3,52,5,63,0,0,0,0,4,4,0,2,"4,4"
4jqu3Fu3bRJBW3,10,0,0,3,28,5,39,0,0,0,0,7,7,0,5,"3,2,2,2,2,3"
4jqu3Fu3bRJBW3,11,0,0,3,44,5,61,0,0,0,0,4,4,0,2,"4,4"
4zprMdo2BmCToc,0,0,1,3,29,5,29,1,0,-1,0,7,7,1,5,"3,2,2,2,2,3"
4zprMdo2BmCToc,1,0,1,3,73,5,66,1,0,-1,0,4,4,1,2,"4,4"
4zprMdo2BmCToc,2,0,1,3,68,5,74,0,0,0,0,5,3,1,2,"5,3"
4zprMdo2BmCToc,3,0,1,3,71,5,62,1,0,-1,0,4,4,0,2,"4,4"
4zprMdo2BmCToc,4,0,1,3,54,5,71,1,0,-1,1,4,4,0,2,"4,4"
4zprMdo2BmCToc,5,0,1,3,30,5,47,1,0,-1,1,7,7,0,5,"3,2,2,2,2,3"
4zprMdo2BmCToc,6,0,1,3,73,5,74,1,0,-1,1,3,5,1,2,"3,5"
4zprMdo2BmCToc,7,0,1,3,73,5,74,0,0,0,0,5,3,1,2,"3,5"
4zprMdo2BmCToc,8,0,1,3,30,5,43,0,1,1,-1,7,7,0,5,"3,2,2,2,2,3"
4zprMdo2BmCToc,9,0,1,3,14,5,51,0,1,1,-1,7,7,1,5,"3,2,2,2,2,3"
4zprMdo2BmCToc,10,0,1,3,73,5,74,1,0,-1,1,3,5,1,2,"5,3"
4zprMdo2BmCToc,11,0,1,3,52,5,71,0,0,0,0,4,4,1,2,"4,4"
69qumWi30zt8LB,0,1,0,3,0,5,0,0,0,0,0,7,7,1,5,"3,2,2,2,2,3"
69qumWi30zt8LB,1,1,0,3,8,5,42,0,0,0,0,4,4,1,2,"4,4"
69qumWi30zt8LB,2,1,0,3,41,5,48,0,0,0,0,5,3,1,2,"5,3"
69qumWi30zt8LB,3,1,0,3,0,5,0,0,0,0,0,4,4,0,2,"4,4"
69qumWi30zt8LB,4,1,0,3,4,5,26,0,0,0,0,4,4,0,2,"4,4"
69qumWi30zt8LB,5,1,0,3,0,5,0,0,0,0,0,7,7,0,5,"3,2,2,2,2,3"
69qumWi30zt8LB,6,1,0,3,0,5,31,0,0,0,0,3,5,1,2,"3,5"
69qumWi30zt8LB,7,1,0,3,41,5,48,0,0,0,0,5,3,1,2,"3,5"
69qumWi30zt8LB,8,1,0,3,0,5,0,1,0,-1,0,7,7,0,5,"3,2,2,2,2,3"
69qumWi30zt8LB,9,1,0,3,0,5,0,0,0,0,0,7,7,1,5,"3,2,2,2,2,3"
69qumWi30zt8LB,10,1,0,3,4,5,36,0,0,0,0,3,5,1,2,"5,3"
69qumWi30zt8LB,11,1,0,3,4,5,42,0,0,0,0,4,4,1,2,"4,4"
69w4WM83iWOtRA,0,0,1,4,62,4,63,0,0,0,0,4,4,0,2,"4,4"
69w4WM83iWOtRA,1,0,1,4,49,4,61,0,0,0,0,4,4,0,2,"4,4"
69w4WM83iWOtRA,2,0,1,4,71,4,74,0,0,0,0,4,4,1,2,"4,4"
69w4WM83iWOtRA,3,0,1,4,26,4,31,0,0,0,0,7,7,0,5,"3,2,2,2,2,3"
69w4WM83iWOtRA,4,0,1,4,68,4,52,0,0,0,0,5,3,1,2,"5,3"
69w4WM83iWOtRA,5,0,1,4,27,4,38,0,0,0,0,7,7,0,5,"3,2,2,2,2,3"
69w4WM83iWOtRA,6,0,1,4,52,4,63,0,0,0,0,3,5,1,2,"5,3"
69w4WM83iWOtRA,7,0,1,4,74,4,71,0,0,0,0,4,4,1,2,"4,4"
69w4WM83iWOtRA,8,0,1,4,50,4,63,0,0,0,0,3,5,1,2,"3,5"
69w4WM83iWOtRA,9,0,1,4,63,4,52,0,0,0,0,5,3,1,2,"3,5"
69w4WM83iWOtRA,10,0,1,4,45,4,48,0,0,0,0,7,7,1,5,"3,2,2,2,2,3"
69w4WM83iWOtRA,11,0,1,4,48,4,45,0,0,0,0,7,7,1,5,"3,2,2,2,2,3"
8lJhZWe3AcL1vB,0,0,1,4,71,4,54,1,0,-1,0,3,5,1,2,"5,3"
8lJhZWe3AcL1vB,1,0,1,4,29,4,32,0,0,0,0,7,7,0,5,"3,2,2,2,2,3"
8lJhZWe3AcL1vB,2,0,1,4,63,4,62,0,0,0,0,4,4,0,2,"4,4"
8lJhZWe3AcL1vB,3,0,1,4,56,4,71,0,1,0,-1,5,3,1,2,"3,5"
8lJhZWe3AcL1vB,4,0,1,4,45,4,34,0,0,0,0,7,7,1,5,"3,2,2,2,2,3"
8lJhZWe3AcL1vB,5,0,1,4,71,4,74,0,0,0,0,4,4,1,2,"4,4"
8lJhZWe3AcL1vB,6,0,1,4,35,4,34,0,0,0,0,7,7,0,5,"3,2,2,2,2,3"
8lJhZWe3AcL1vB,7,0,1,4,65,4,74,0,1,0,-1,5,3,1,2,"5,3"
8lJhZWe3AcL1vB,8,0,1,4,76,4,59,1,0,-1,0,3,5,1,2,"3,5"
8lJhZWe3AcL1vB,9,0,1,4,61,4,66,0,0,0,0,4,4,0,2,"4,4"
8lJhZWe3AcL1vB,10,0,1,4,43,4,45,0,0,0,0,7,7,1,5,"3,2,2,2,2,3"
8lJhZWe3AcL1vB,11,0,1,4,71,4,74,0,0,0,0,4,4,1,2,"4,4"
8vpplWa1LA4tuJ,0,0,0,3,0,5,45,0,0,0,0,7,7,1,5,"3,2,2,2,2,3"
8vpplWa1LA4tuJ,1,0,0,3,52,5,71,0,0,0,0,4,4,1,2,"4,4"
8vpplWa1LA4tuJ,2,0,0,3,73,5,74,0,0,0,0,5,3,1,2,"5,3"
8vpplWa1LA4tuJ,3,0,0,3,37,5,58,0,0,0,0,4,4,0,2,"4,4"
8vpplWa1LA4tuJ,4,0,0,3,10,5,0,1,0,-1,0,7,7,0,5,"3,2,2,2,2,3"
8vpplWa1LA4tuJ,5,0,0,3,73,5,74,0,0,0,0,5,3,1,2,"3,5"
8vpplWa1LA4tuJ,6,0,0,3,52,5,68,0,0,0,0,3,5,1,2,"3,5"
8vpplWa1LA4tuJ,7,0,0,3,68,5,66,1,0,-1,0,3,5,1,2,"5,3"
8vpplWa1LA4tuJ,8,0,0,3,24,5,45,0,0,0,0,7,7,1,5,"3,2,2,2,2,3"
8vpplWa1LA4tuJ,9,0,0,3,32,5,34,1,0,-1,0,7,7,0,5,"3,2,2,2,2,3"
8vpplWa1LA4tuJ,10,0,0,3,66,5,62,1,0,-1,0,4,4,0,2,"4,4"
8vpplWa1LA4tuJ,11,0,0,3,71,5,64,1,0,-1,0,4,4,1,2,"4,4"
9L0u3N594S7Tk5,0,1,0,4,0,4,36,0,0,0,0,3,5,1,2,"3,5"
9L0u3N594S7Tk5,1,1,0,4,28,4,26,0,0,0,0,4,4,0,2,"4,4"
9L0u3N594S7Tk5,2,1,0,4,0,4,0,0,0,0,0,7,7,0,5,"3,2,2,2,2,3"
9L0u3N594S7Tk5,3,1,0,4,0,4,0,0,0,0,0,7,7,0,5,"3,2,2,2,2,3"
9L0u3N594S7Tk5,4,1,0,4,36,4,4,0,0,0,0,5,3,1,2,"3,5"
9L0u3N594S7Tk5,5,1,0,4,42,4,48,0,0,0,0,4,4,1,2,"4,4"
9L0u3N594S7Tk5,6,1,0,4,42,4,48,0,0,0,0,4,4,1,2,"4,4"
9L0u3N594S7Tk5,7,1,0,4,32,4,0,1,0,-1,0,4,4,0,2,"4,4"
9L0u3N594S7Tk5,8,1,0,4,4,4,41,0,0,0,0,3,5,1,2,"5,3"
9L0u3N594S7Tk5,9,1,0,4,0,4,0,0,0,0,0,7,7,1,5,"3,2,2,2,2,3"
9L0u3N594S7Tk5,10,1,0,4,0,4,0,0,0,0,0,7,7,1,5,"3,2,2,2,2,3"
9L0u3N594S7Tk5,11,1,0,4,41,4,4,0,0,0,0,5,3,1,2,"5,3"
9Ww7oIT2IOq2Z2,0,0,1,4,74,4,71,0,0,0,0,4,4,1,2,"4,4"
9Ww7oIT2IOq2Z2,1,0,1,4,32,4,35,0,0,0,0,7,7,0,5,"3,2,2,2,2,3"
9Ww7oIT2IOq2Z2,2,0,1,4,74,4,71,0,0,0,0,4,4,1,2,"4,4"
9Ww7oIT2IOq2Z2,3,0,1,4,52,4,69,1,0,-1,1,4,4,0,2,"4,4"
9Ww7oIT2IOq2Z2,4,0,1,4,38,4,49,0,1,1,-1,7,7,0,5,"3,2,2,2,2,3"
9Ww7oIT2IOq2Z2,5,0,1,4,71,4,74,0,1,1,-1,4,4,0,2,"4,4"
9Ww7oIT2IOq2Z2,6,0,1,4,23,4,30,1,0,-1,1,7,7,1,5,"3,2,2,2,2,3"
9Ww7oIT2IOq2Z2,7,0,1,4,59,4,64,0,1,1,-1,5,3,1,2,"3,5"
9Ww7oIT2IOq2Z2,8,0,1,4,52,4,68,0,0,0,0,3,5,1,2,"5,3"
9Ww7oIT2IOq2Z2,9,0,1,4,34,4,43,0,1,1,-1,7,7,1,5,"3,2,2,2,2,3"
