session,gameNum,costCond,visibilityCond,resourceCond,purpleEnergy,purpleBackpackSize,redEnergy,redBackpackSize,purpHelpFirst,redHelpFirst,purpAlsoHelp,redAlsoHelp,nRedVeg,nPurpVeg,patchUniformity,nPatches,patchSize
1,1,1,1,0,18,5,8,3,0,1,1,-1,3,5,1,2,"5,3"
1,2,1,1,0,0,5,0,3,1,0,-1,1,7,7,1,5,"3,2,2,2,2,3"
1,3,1,1,0,0,5,0,3,0,1,1,-1,5,3,1,2,"5,3"
1,4,1,1,0,0,5,0,3,0,1,1,-1,7,7,0,5,"3,2,2,2,2,3"
1,5,1,1,0,20,5,6,3,1,0,-1,1,4,4,0,2,"4,4"
1,6,1,1,0,0,5,0,3,1,0,-1,1,7,7,1,5,"3,2,2,2,2,3"
1,7,1,1,0,24,5,18,3,1,0,-1,1,3,5,1,2,"3,5"
1,8,1,1,0,0,3,18,5,0,1,1,-1,5,3,1,2,"3,5"
1,9,1,1,0,0,5,0,3,0,1,1,-1,4,4,1,2,"4,4"
1,10,1,1,0,0,5,0,3,0,1,1,-1,7,7,0,5,"3,2,2,2,2,3"
1,11,1,1,0,0,5,0,3,1,0,-1,1,4,4,1,2,"4,4"
1,12,1,1,0,28,5,0,3,1,0,-1,1,4,4,0,2,"4,4"
2,1,0,1,0,53,3,60,5,0,1,1,-1,4,4,0,2,"4,4"
2,2,0,1,0,0,3,25,5,1,0,-1,1,7,7,1,5,"3,2,2,2,2,3"
2,3,0,1,0,40,5,51,3,1,0,-1,1,4,4,1,2,"4,4"
2,4,0,1,0,1,5,0,3,1,0,-1,1,7,7,1,5,"3,2,2,2,2,3"
2,5,0,1,0,0,3,20,5,1,0,-1,1,7,7,0,5,"3,2,2,2,2,3"
2,6,0,1,0,42,5,49,3,0,1,1,-1,4,4,0,2,"4,4"
2,7,0,1,0,42,5,61,3,0,1,1,-1,3,5,1,2,"5,3"
2,8,0,1,0,47,5,34,3,0,1,1,-1,5,3,1,2,"5,3"
2,9,0,1,0,40,3,49,5,1,0,-1,1,3,5,1,2,"3,5"
2,10,0,1,0,60,5,59,3,0,1,1,-1,5,3,1,2,"3,5"
2,11,0,1,0,0,5,0,3,0,1,1,-1,7,7,0,5,"3,2,2,2,2,3"
2,12,0,1,0,35,5,30,3,0,1,1,-1,4,4,1,2,"4,4"
3,1,1,0,0,0,5,0,3,0,1,1,-1,7,7,1,5,"3,2,2,2,2,3"
3,2,1,0,0,18,5,0,3,0,1,1,-1,5,3,1,2,"3,5"
3,3,1,0,0,0,5,0,3,1,0,-1,1,7,7,1,5,"3,2,2,2,2,3"
3,4,1,0,0,6,3,20,5,0,1,1,-1,4,4,0,2,"4,4"
3,5,1,0,0,0,5,0,3,0,1,1,-1,5,3,1,2,"5,3"
3,6,1,0,0,20,5,0,3,0,1,1,-1,3,5,1,2,"5,3"
3,7,1,0,0,0,5,0,3,1,0,-1,1,4,4,1,2,"4,4"
3,8,1,0,0,0,3,28,5,0,1,1,-1,4,4,0,2,"4,4"
